review,rating
Like,4.0 out of 5 stars
Bought this for my 11yr old son as his new school bag. Light & does the job. Value for money (<₹1K). Writing this review after 1month of use. Will be happy if it stays for 1 full academic year.,5.0 out of 5 stars
Nice,3.0 out of 5 stars
Equally like,3.0 out of 5 stars
Nice but water resistant is not working,4.0 out of 5 stars
I am satisfied with this ...I got it by Rs..999..it is good and size is also good.,4.0 out of 5 stars
Good Quality but 1 minus pint in this bag is Laptop holder belt not available in laptop pocket.,4.0 out of 5 stars
"LITE WAIT , CLOTH QUALITY IS NAT GOOD LOOKING LIKE A AMERICAN TRURISTER COPY
AND FRONT WHITE COLOR IS NOT LOOKING GOOD.",3.0 out of 5 stars
Like it,4.0 out of 5 stars
Excellent👍,4.0 out of 5 stars
"Everything is good in this bag but The material quality of the bag is so bad.
So, plz don't buy this bag.",3.0 out of 5 stars
Good but not perfect,4.0 out of 5 stars
Bag is very good..very light weight..storage is 32 ltr which is more than sufficient..strap padding is not so good..it should be better.. overall 4.3⭐ out of 5,5.0 out of 5 stars
Overall very good,4.0 out of 5 stars
No warranty stamp,4.0 out of 5 stars
Durable and usefull.. best quality,4.0 out of 5 stars
"The bag was not as i wanted so i returned it and buy another one which was better than this one but the good part in all these buying and returning process was Amazon's fastest,reliable services
thank you amazone",3.0 out of 5 stars
"It's too much light weight,and stylish.",4.0 out of 5 stars
It's light in weigt even after packing.. Go for it.. Worth buying,5.0 out of 5 stars
"Nice light weight bag. Good size, number of pockets, quality of material. Rate is reasonable for the quality. Satisfied with the purchase",5.0 out of 5 stars
Good,3.0 out of 5 stars
Good back pack for short trips and local travel.,4.0 out of 5 stars
high quality bags reasonable price. high capacity premium school/travelling bag..No rain cover..,4.0 out of 5 stars
"Bag Was Good, Space Kafi Hai Agar Aap Space K Lie Dekh Rahe Hai To Better One, Second Is Ki Bag Kafi Light Weight Hai So Carry Karna Easy Hai Looking All Ok Ok But Thoda Bulky Bulky Laga Mujhe Personally Baki Bag Was Good",3.0 out of 5 stars
"Ample space for stuff suitable for class 3+ My son loved it. He selected it on site and happy with it.
Sufficient space for everything. There could be extra strap / belt to hold full length bottles in side pockets.",5.0 out of 5 stars
"Laptop Layer not available ,loptop not suitable",5.0 out of 5 stars
Looks and feels Nice.,5.0 out of 5 stars
I m satisfied,5.0 out of 5 stars
it's good in look but not fully water resistant and you can't keep laptop in it.,4.0 out of 5 stars
"I bought this at 699, its very affordable brand like AT.. Thank u amazon",5.0 out of 5 stars
NYC one,4.0 out of 5 stars
"Not so good quality
Not fully waterproof",3.0 out of 5 stars
"Lightweight, color is also good.... Over all very good",5.0 out of 5 stars
Very mast h re baba . Got at 800 rs . Value for money.,5.0 out of 5 stars
Good value,5.0 out of 5 stars
first impression - decent product for 999 rs. hoping american tourister will last long...,3.0 out of 5 stars
Happy with the bag.... Good quality and water resistant.,5.0 out of 5 stars
Water rain cover not giving,5.0 out of 5 stars
"PROS : VERY LIGHTWEIGHT
GOOD FOR 6TH TO 12 [5TH ALSO]
CONS : NOT FOR TRAVELLING /TREKKING
FOR TREKKING 70 L IS NEEDED [MY OPINION]
OVERALL GOOD BAG IF YOU ARE LOOKING FOR A LONG LASTING GOOD BAG CHEAP PRICE GO FOR IT IN CASE FOR WATERPROOF I WOULD GIVE 4 NOT 5 BECAUSE THEY SHOULD HAVE GIVEN RAIN COVER FOR THE BAG",4.0 out of 5 stars
"I bought this only for Rs. 899 . In this price, I am totally satisfied with it's built quality and storage capacity. Also the looks are very attractive. So I can recommend it for casual traveling person and school and college students. Great deal ✌️✌️",5.0 out of 5 stars
Good bag but Looks like school bag more than college,3.0 out of 5 stars
It’s nice,5.0 out of 5 stars
I used for school bag purpose.,5.0 out of 5 stars
"Just go for it!
Amazing bag🤩",5.0 out of 5 stars
Good,4.0 out of 5 stars
Happy,5.0 out of 5 stars
Very good product,4.0 out of 5 stars
Brought it as college bag for my daughter.. She liked it..,5.0 out of 5 stars
"Its good in looking..
But not rough and tough.",5.0 out of 5 stars
Good,4.0 out of 5 stars
Just love it.... Very comfort to use,4.0 out of 5 stars
"I am 11 years old using this bag for school ,it's very comfortable to carry all my books i recommend this product for school kids and collage students. Best product from American tourister",5.0 out of 5 stars
Ok,4.0 out of 5 stars
"I bought it in mansoon as I wanted a waterproof product to keep my books and stuff safe.
Pro: 1 quality is good not best
2. Stitches are strong
3. Can use for more weight than they
advice
4. No worry for 3 to 4 years for sure with
average use
5. Back sheet is soft and net gives
breathing effect to back
6. Can use as backpack but not with
heavy stuff
Cons: 1. Waterproofing is not that best
2. Can't use in heavy rains
3. Back side is not that much
breathable
4. Pockets for different stuff is not
given as it's not backpack people
use it for school and college
5. Price is little higher than affordable
If you get caught in any offer you
should certainly go for it",5.0 out of 5 stars
Good product for college as well as school students. It is Light weighted and made of good metrial .,5.0 out of 5 stars
Worthy ✨,5.0 out of 5 stars
Okk,5.0 out of 5 stars
good bag pack,4.0 out of 5 stars
" After 1Year continuous rough use product is in good Condition,. Bahot Badhiya Product hai... KHARID LO....🥰",5.0 out of 5 stars
The quality of the bag is not good.,3.0 out of 5 stars
"Very nice bag for office, school and light travel purpose.",5.0 out of 5 stars
"Good product at the price point, does the duty as mentioned. Good job.",4.0 out of 5 stars
Stitching quality is not good.,3.0 out of 5 stars
My first purchase of AT. It's better than Safari but VIP Footloose is more comfortable than AT.,3.0 out of 5 stars
Its ok for this price but with out rain cover pouch its hard for rainy season,3.0 out of 5 stars
 Awesome one .... It's light weight n it's good product,5.0 out of 5 stars
Bag quality is not up to the mark.,3.0 out of 5 stars
 Very good 🛍️,4.0 out of 5 stars
Quality is good,4.0 out of 5 stars
Dint like the quality,3.0 out of 5 stars
"The bag is pretty good for day to day college use, it is lightweight and water resistant. To sum up in a few words, it is a totally ""WORTH"" buy.🤗",5.0 out of 5 stars
Design of the bag is good but one issue is that printed design gets wear and by use of time.,4.0 out of 5 stars
"Superb back, go for it. Perfect bag for travelling.",5.0 out of 5 stars
ok super,4.0 out of 5 stars
I have been using for a month for school by far it is it is very good and durable for carrying a lots of books and has many good organizer,5.0 out of 5 stars
Nice product,4.0 out of 5 stars
Good one …bought as my kids school bag…size a little big for a 12 yr old …nice Color & design,4.0 out of 5 stars
Must to buy it.amezing to use smooth and very light bag .,5.0 out of 5 stars
It's really very good product.,5.0 out of 5 stars
Good quality bag. only thing is laptop partition not with strap. Key chain hanger not provided.,4.0 out of 5 stars
Good product but side bottle pockets are not strong.,3.0 out of 5 stars
Nice,4.0 out of 5 stars
The quality of the bag was good and I like it,5.0 out of 5 stars
Product is good for traveling....yes its too light to use,4.0 out of 5 stars
"Good looking, light, price is okay.",5.0 out of 5 stars
"Very nice product,l like it.",5.0 out of 5 stars
Good,4.0 out of 5 stars
" Bought it for my mother who travels a lot
So she needed a compartment in the front
This has a small compartment in the front where you can keep your mobile or ladies wallet.
I think its water resistant
Very light weight
Very good back support
You will get these kinda bags in other brands at much cheaper price but i would always go for american tourister/VIP/Wildcraft because they last longer in my experience.",5.0 out of 5 stars
" Very nice quality.
value for miney",5.0 out of 5 stars
"My son is so happy using thus bag, value for money",5.0 out of 5 stars
nice,5.0 out of 5 stars
Mja aa gya guru,5.0 out of 5 stars
"It's gone
How is will claim to warrenty",5.0 out of 5 stars
Good product,4.0 out of 5 stars
Good looking with better quality,5.0 out of 5 stars
I like,5.0 out of 5 stars
Good product and quality too,4.0 out of 5 stars
"In photo bag with bottle but in order there is only a bag
Please submit the correct products",3.0 out of 5 stars
Best quality and light weight. Go ahead,5.0 out of 5 stars
Perfect bag for travel. It can take lot of items. Only thing missing was a separate pouch for carrying laptop.,4.0 out of 5 stars
Good,5.0 out of 5 stars
 Very good bag thanks 😊,5.0 out of 5 stars
"Perfect bag!!!! big spaces, it can fit so many books and lot more, the chains are perfect work smoothly and no matter how many books i carry it never hurts my shoulders 🥺 just go for it, it's worth every penny",5.0 out of 5 stars
Best for 4 class kids,5.0 out of 5 stars
IT IS MENTIONED THAT RAIN COVER IS PROVIDED BUT ACTUALLY RAIN COVER IS NOT PROVIDED.I AM GIVING THREE STARS ONLY FOR THIS REASON.BAG IS SUPERB.,4.0 out of 5 stars
"Abhi tk return ka payment nhi aaya h hum es pr case kr skte h 23 june ko returns le gya abhi tk received kyo nhi hua esi seva rahi to sbhi ka Amazon pr vishvash nhi rahegaOverall Product was good lightweight good design but..
The quality was not that good as expected from American tourister
Bottle holder was also big
Bag is suitable for 8th-College
Thanks amazon",3.0 out of 5 stars
Awesome quality .....,5.0 out of 5 stars
Light weight,4.0 out of 5 stars
No laptop compartment,4.0 out of 5 stars
Light weight. But have apprehension about the durability and material of the product.,3.0 out of 5 stars
"The quality of zippers are nice, but the top layer is peeling off… this is really sad bad.",3.0 out of 5 stars
Not ok,4.0 out of 5 stars
Superb,5.0 out of 5 stars
Good product,4.0 out of 5 stars
It's a quite good product.The fabric is excellent good product American tourister👍👍👍👍carry on.....,4.0 out of 5 stars
 Nice,5.0 out of 5 stars
"Really best for college students
Spaceship
Best for traveling
And At last it's quality is so awesome
Amazon is best 💖",5.0 out of 5 stars
bdhia,5.0 out of 5 stars
Very nice and beautiful bag but need to improve the quality of the bags zip,4.0 out of 5 stars
"Nice quality,but no rain cover",5.0 out of 5 stars
Good product,5.0 out of 5 stars
Light weight not to carry heavy items but good quality overall,5.0 out of 5 stars
It is a nice bag ..light weight and quality product...,5.0 out of 5 stars
ok average,3.0 out of 5 stars
Good for daily use,5.0 out of 5 stars
" I had ordered this bag on the name of American Tourister that it is very good and strong bag but the front design is very cheap,poor after a single wash the front design started to be very loose and stared coming out from from it and it is mentioned that it is water resistant,so i am telling you that it doesn't protect books and copies from a single glass of water.
I will you all the you want to buy this product, please do not this rubbish bag.",2.0 out of 5 stars
"Water resistant, good quality in this price, worth ordering",5.0 out of 5 stars
Value of money,5.0 out of 5 stars
Zip quality is not good.,4.0 out of 5 stars
I like this product i usually using for school,5.0 out of 5 stars
Quality not good,4.0 out of 5 stars
"Quality is ok, not so great.",3.0 out of 5 stars
"I like it,it's for school purpose",4.0 out of 5 stars
good,5.0 out of 5 stars
Color is light but very good,5.0 out of 5 stars
As per my opinion quality can be more better in this price,3.0 out of 5 stars
It’s ok,4.0 out of 5 stars
Overall nice bag. Using it as college bag. No big issue found,3.0 out of 5 stars
Good Product,5.0 out of 5 stars
Very good size bag for my child.,5.0 out of 5 stars
Product quality nice,4.0 out of 5 stars
Good product 👍👍👍👍😂👍,4.0 out of 5 stars
Good in this price Range,5.0 out of 5 stars
Good bag but it's only for school 🎒,3.0 out of 5 stars
"Good looks,ya it's definitely water resistant,you can use it for travelling purpose also,worth every penny",4.0 out of 5 stars
Light weight and easy to handle,5.0 out of 5 stars
Good,4.0 out of 5 stars
Not worth for money,3.0 out of 5 stars
Very nice back pack its sturdy & useful with multiple compartment for different use. Zip quality is best. Recommended to by,5.0 out of 5 stars
Good for both school and personal use,5.0 out of 5 stars
I took this for my college use but it seemed handy for trekking as well for carrying required product amazing build quality,5.0 out of 5 stars
It is very good bagpack for school or for travelling it is value for money bugjet bag by the way..,5.0 out of 5 stars
Fantastic quality. Absolutely value for the money. I recommend it for a regular traveller.,5.0 out of 5 stars
Not as tough as expected.,5.0 out of 5 stars
Overall a good bag.,4.0 out of 5 stars
Stichhing is average,3.0 out of 5 stars
"Looks good
100% polyester
Cloth quality 4/5
Light weight
NO RAIN COVER 👎",4.0 out of 5 stars
Gifted ro my nephew who was going to for futher studies. He liked it very much,5.0 out of 5 stars
Quality is the very low,3.0 out of 5 stars
The bag is little bit small as shown in figure when it delivered I was dissatisfied otherwise it had good quality the material was too good this bags lift weights upto 15 kg good product must order this product was awesome 😎👍🏻(✿^‿^)ʘ‿ʘ(. ❛ ᴗ ❛.)(◔‿◔)( ◜‿◝ )♡,3.0 out of 5 stars
Ok ok product..price is bit let down.,3.0 out of 5 stars
" Light weight,best for travelling",5.0 out of 5 stars
"Good looking, stylish, heavy duty",4.0 out of 5 stars
Good bag,4.0 out of 5 stars
Nice product,4.0 out of 5 stars
Fully satisfied with the quality,5.0 out of 5 stars
 There was no cover,3.0 out of 5 stars
Bought it for school going son studying in 7th standard. Spacious and light,4.0 out of 5 stars
Excellent school bag for kids 2nd class to---till 10 th class,5.0 out of 5 stars
Worth to buy,4.0 out of 5 stars
Super,5.0 out of 5 stars
I like this bag,5.0 out of 5 stars
A,5.0 out of 5 stars
School bag,5.0 out of 5 stars
Just ok,5.0 out of 5 stars
"It's the best school bag. Extremely high quality, amazing in looks. Everything is perfect.
I recommend everybody who needs a bag to buy this one. It's Fantastic..",5.0 out of 5 stars
Like,4.0 out of 5 stars
The bag is very stylish and light weighted and has good quality zips also,4.0 out of 5 stars
It was great Bag for college students and it had great zip quality i wa dis satisfied just by middle compartment as it wa thinner comparatively over all it was a great product would be better if price was 800,5.0 out of 5 stars
"The imprint of American tourister peeled off within 2 days. So if you are buying it for the look of it, it's not going to last you. My bag got wet in the rain, and the imprint came off .
The bag is good quality though apart from the bad quality of printing the name.",2.0 out of 5 stars
average,3.0 out of 5 stars
"Very nice bag interms of qualty, color, style & most important price",5.0 out of 5 stars
Like,4.0 out of 5 stars
Quality is really good in this price.,5.0 out of 5 stars
Not separate space for laptop,4.0 out of 5 stars
It's just ok ok bag. Good for carrying to college and travelling small distance. Spacious.,3.0 out of 5 stars
Since i am using last 4 year not a single damage,5.0 out of 5 stars
"There is no rain cover , but original with price tag",3.0 out of 5 stars
Overall good and original product,5.0 out of 5 stars
Super,5.0 out of 5 stars
"Quality of the product not good, loking fake American tourister",2.0 out of 5 stars
I didn't get the rain cover bad quality,3.0 out of 5 stars
Mera experience accha raha hai,5.0 out of 5 stars
"Too Lightweight, poor material used and no sturdiness in the bag",3.0 out of 5 stars
"Not happy with the product . The material used for inner partition is of inferior quality. Used for just 3 months and the net pocket tearing off. Straps are not sturdy; Shoulder start to pain if bag gets heavy .I think the bag is a duplicate one. Giving 2 star for timely delivery, one star for the bag.",3.0 out of 5 stars
"THE BAG IS THE BEST IN THIS BUDGET , IT IS LIGHT IN WEIGHT AND PERFECT FOR THE STUDENTS.",4.0 out of 5 stars
it is very light weight and comfortable,5.0 out of 5 stars
It's good but when I just use it for some days I found out that one zip of the bag is not smoot,4.0 out of 5 stars
I liked the product but the material of bag is very thin and It only has a warranty of only 1 year,4.0 out of 5 stars
"Its light weight and comfortable for my kids schooling, he likes it. Quality is good. I am saying this after 3months usage, am happy with the product...",5.0 out of 5 stars
"Light weight, spacious and value money for money...just amazing",5.0 out of 5 stars
"Quality , very good quality and big size bag",4.0 out of 5 stars
Good one,3.0 out of 5 stars
Finish is not that great considering it is from American Tourister!!!,3.0 out of 5 stars
Copy h. Kharb quality,2.0 out of 5 stars
Zippers some time stuck and easy to get dirty,3.0 out of 5 stars
"Nice Bag, Nice Colour..... I would suggest it for schools students only ( 1- 10th )",4.0 out of 5 stars
I like ap,5.0 out of 5 stars
Perfect ❤️,5.0 out of 5 stars
Value for money bag. Good quality and nice look,5.0 out of 5 stars
Nice,5.0 out of 5 stars
The bag was amazing! It's perfect for School as well as for College student to look cool I bought the Red colour it was bright & Fine. There is much place to put your stuff inside it. I would suggest you to take this bag when offer price is about ₹1000-₹1200. It's worth it!,5.0 out of 5 stars
"Medium quality, less durability,well zips, medium comfort , Light weight bag so I'm using for my college best price 700-800, I'm buying this bag Rs725. On 2022 march",4.0 out of 5 stars
Nice material it is not water resistant or can use for travel purposes..for office use like laptops..,4.0 out of 5 stars
Very good,4.0 out of 5 stars
Value for money,5.0 out of 5 stars
हल्का और मजबूत,3.0 out of 5 stars
"Got two of this product at a very good discount price, so with discount this a very good option to go with bag. It's quality and stitching is really good, it will not tear easily, i have overloaded these bags many times during travel and it was very good and zips were also not gone.",4.0 out of 5 stars
Fabulous,5.0 out of 5 stars
"nice product , got it on sale and offer was good",5.0 out of 5 stars
Good 👍👍,5.0 out of 5 stars
"Likes- light weight, water resistant, and good quality and amazing looks
Cons- front design get scratches easily and look kind of bad when we look closely but from a distance it does not bother for anything",4.0 out of 5 stars
Different style product,2.0 out of 5 stars
Bag is best but I return bag for size...in bag my Titan watch pls send my watch,4.0 out of 5 stars
Very good to use good product is strong and perfect colour after Washing also is very smooth to use,5.0 out of 5 stars
Product quality is not good,2.0 out of 5 stars
Ok,5.0 out of 5 stars
Best qwal,4.0 out of 5 stars
"Poor quality, graphics is coming out. Not worth for money",4.0 out of 5 stars
Very good.,5.0 out of 5 stars
It’s was delivered ahead of the scheduled time.. good piece of bag.,4.0 out of 5 stars
Could have better quality on the product,2.0 out of 5 stars
"Value for money, good product",4.0 out of 5 stars
May be next timr,3.0 out of 5 stars
" Spacious, three compartments, side pockets for bottles. Worth your money. Cloth quality is medium",4.0 out of 5 stars
I liked its colour combination and the spacious nature of the bag. I use it on an every day basis to come to school.,5.0 out of 5 stars
"ok ok item. quality is not upto the mark.
ok upto for 800-900 price",4.0 out of 5 stars
We r very happy with this oroduct,5.0 out of 5 stars
 My son using this bag as school bag...colour is gud..big books fits properly..overall gud purchase.,5.0 out of 5 stars
Gifted it to my sister. She loved it. Might buy one for myself,5.0 out of 5 stars
nice,5.0 out of 5 stars
"It's light weight bag, simply good looking bag.",5.0 out of 5 stars
"Good School Bag, quality is great",5.0 out of 5 stars
Very much liked,5.0 out of 5 stars
It's features are good,3.0 out of 5 stars
I like it's space water resistant and light weight,5.0 out of 5 stars
"This bag doesn't have Laptop Compartment. Other than that, it is very good product.",3.0 out of 5 stars
"the bag might look good but it won't last,the price is just for the brand tag",2.0 out of 5 stars
No Rain Cover as Displayed in Pictures.. You have to read entire description..,4.0 out of 5 stars
"Product is good, but small in size.not fit for travel .",3.0 out of 5 stars
Chain,4.0 out of 5 stars
"The Straps to carry the bag is not at all comfortable. ⅔ stroage are useful but that ⅓ remaining is completely useless. Print in the front is ok & the foam in the back is just for showing doesn't do any job. In a nutshell, First Copy Experience.",2.0 out of 5 stars
Nice,4.0 out of 5 stars
"The product is absolutely of Superior quality, spacious ,cool to look and with multiple usage. It even comes with a worldwide 1 year warranty. Superb product. Must buy if you are a student or a traveller.",5.0 out of 5 stars
Nicee,4.0 out of 5 stars
Nice,4.0 out of 5 stars
Excellent in quality,5.0 out of 5 stars
There is no rain cover with this bag..however its listed in the product image. This is quite fraudulent.,2.0 out of 5 stars
"The backpack is very nice and exactly the same in the pictures given. It's size is ideal for students in senior classes(between medium & large).
I returned it because I had to order something else urgently so I cannot say anything about the durability of this backpack.
The bag looks sturdy though and it's American Tourister so you know it will last long.",5.0 out of 5 stars
Zip found fail and also water resistant was poor.,5.0 out of 5 stars
Good,4.0 out of 5 stars
Cool backpack not suitable for laptop,5.0 out of 5 stars
"Good sturdy bag have been using it for the past few weeks so far so good.
Yet to check the stitching strength..",4.0 out of 5 stars
Nice quality fully satisfied go for it,5.0 out of 5 stars
This bag is very comfortable for Traveling and carry,4.0 out of 5 stars
A signature product by American tourister,4.0 out of 5 stars
just purchased . bag is good .,4.0 out of 5 stars
Awesome design and colour superb quality,2.0 out of 5 stars
LIGHT WEIGHT. GOOD FOR BOOKS BUT LAPTOP COMPARTMENT NOT PROVIDED,2.0 out of 5 stars
Nice,4.0 out of 5 stars
This is a nice beg for travaling,5.0 out of 5 stars
Good in looking,5.0 out of 5 stars
Happy with product,4.0 out of 5 stars
This item include wate resistance but it can't help to keep my books safe.,5.0 out of 5 stars
Good product,4.0 out of 5 stars
"Ordered this for a student of PUC . He loved it and quality is excellent. Good product, can buy.",4.0 out of 5 stars
"Material seemed too thin and light to be a sturdy bag, which will haul heavy school books and notebooks. Was not confident that it will last long, so returned it.",2.0 out of 5 stars
Not as expected,3.0 out of 5 stars
My kid liked it very much. In this heavy rain it was totally dry from inside. Comfortable bag.,5.0 out of 5 stars
 Overall a good product...,4.0 out of 5 stars
Yes amazing,5.0 out of 5 stars
Look like a small bag carry more things,4.0 out of 5 stars
Like This Product,4.0 out of 5 stars
Good material quality.,5.0 out of 5 stars
"Better buy from local shop after inspecting it’s quality:
This is made of very thin material and can’t take heavy load of number of books required in today’s classes.",2.0 out of 5 stars
 Nothing to complain about this product.,4.0 out of 5 stars
Good for clg purpose,4.0 out of 5 stars
"Very stylish back pack from American tourister. It is big enough for high school, college students and adults. Only minus point I found is lack of rain cover. Almost all american tourister backpacks comes with rain cover. That is missing here. Everything else is good",5.0 out of 5 stars
Good,3.0 out of 5 stars
Product is costly but quality is not up to the mark,2.0 out of 5 stars
Very Good Bag im not sure about inner material quality but its decent.,5.0 out of 5 stars
Bad respose,3.0 out of 5 stars
Perfect,5.0 out of 5 stars
"Product is ok and light weight.
Worst package that too in covid situation and I have never seen such a kind of nude packaging where anyone in the middle can use and keep it inside again. 2 star is just for the okay quality and timely delivery.",2.0 out of 5 stars
Product is light weight and awesome,5.0 out of 5 stars
This backpack provide me a descent amount of room and it's cheap and good quality. I recommend to buy.,5.0 out of 5 stars
"Already i am using same brand and i was bought in local store, so i am expecting same quality but i received average one.. i am not satisfied with this bag...",3.0 out of 5 stars
Nice product.,5.0 out of 5 stars
Good,4.0 out of 5 stars
Great product,5.0 out of 5 stars
The bag was actually good super quality awesome product if you want to buy this bag please go for it,5.0 out of 5 stars
1👍,4.0 out of 5 stars
1,4.0 out of 5 stars
Best light weight medium size bag🥳,5.0 out of 5 stars
Good Quality And Nice Product,5.0 out of 5 stars
 अच्छा प्रोडेक्ट है ।,5.0 out of 5 stars
The material quality of bag is slightly not good is good for price range of 500 rupees. but looking good .,3.0 out of 5 stars
Didn't like the low quality and size. Returned,2.0 out of 5 stars
"This product looks like a duplicate copy of amarican tourister
Not of good quality as per price
Don't buy it
Worst product",2.0 out of 5 stars
Its light weight and good you can also use for school bag this is orginal of American tourister👍,5.0 out of 5 stars
Good product for normal use,3.0 out of 5 stars
"Sturdy.
Good looks",5.0 out of 5 stars
Extremely osm❤️,5.0 out of 5 stars
Wonderful,4.0 out of 5 stars
Amazing product,5.0 out of 5 stars
"It's over all good product. I don't feel that it have good water resistance capabilities otherwise good product. It comes with standard warranty card . While choosing the bag t try to avoide white shades ,because it will fade easily and lost it fresh look catches dirt quickly.",4.0 out of 5 stars
As a branded product this bag's material quality is not good.,3.0 out of 5 stars
"This is definitely a good product. No doubt you can go for it but only problem is that it is not water resistant. So make sure if you are buying this prevent from the water, don't take it out on rainy day.",4.0 out of 5 stars
American Tourister bags has light weight and water resistance and exlent dilivery.,5.0 out of 5 stars
Very good,5.0 out of 5 stars
"Product is not good, please take return ASAP",2.0 out of 5 stars
Like excellent design +,5.0 out of 5 stars
Quality of tourister is good but the dealer has not send the raincover which has shown in the pic. Please check it,3.0 out of 5 stars
"Good for traveling, light weight ,but if you want to carry laptop then go for other bags..",3.0 out of 5 stars
Quality is of worst quality compared to price. Fake product. Not worth.,2.0 out of 5 stars
"As can see all of my 10th class books and notebooks got in it very easily there's plenty of space in it.....
At the price point of 600₹ - 1000₹ it is the best product and very comfortable unless you put rocks in it",4.0 out of 5 stars
In one month water bottle side stitches openend and front side is not good..it is light weight but the quality of the product is avaerage. if you are expecting quality dont go for this,3.0 out of 5 stars
Money Value,5.0 out of 5 stars
Nice Product👍 Value of money 🤑,5.0 out of 5 stars
very lite in weight and looking osm.,4.0 out of 5 stars
Not good quality for this price range. Quality is not good doesnt look premium.,2.0 out of 5 stars
Excellent product,5.0 out of 5 stars
Good Quality,5.0 out of 5 stars
"Nice bag, got for my kid for school.",5.0 out of 5 stars
Rain cover not given,5.0 out of 5 stars
Ok,5.0 out of 5 stars
The Looks. It is Fantastic.,5.0 out of 5 stars
Not so good,2.0 out of 5 stars
Nice To Better,5.0 out of 5 stars
"You are ready to buy
100% value for money",5.0 out of 5 stars
Overall best product for me.,4.0 out of 5 stars
"American Tourister anytime! It never fails. Super cool looking, nice graphics and sturdy bag. Yet to take out for travel, will edit review but at first sight, it's pure love. Worth every penny! Got it for 999/- 32 Litres",5.0 out of 5 stars
Only 2 months over buying the bottle holders are all toren.. And no enogh space inside,2.0 out of 5 stars
Good,5.0 out of 5 stars
"Everything's fine but the White part ain't so good... Cause its not made up of fabric and if it touches harsh objects, it might come out a lil bit... Dw not so much, requires maintenance ✌🏻",4.0 out of 5 stars
I like this,4.0 out of 5 stars
not original,3.0 out of 5 stars
I like it. Suitable for traveling and school boys of class 10 - 12,5.0 out of 5 stars
"Light weight and good quality prodect,worth it",5.0 out of 5 stars
Osm,5.0 out of 5 stars
"Its just so good, Ive not even thought about buying a replacement for my daily backpack !
Quality and comfort are top notch.
I have seen some negative reviews and those are about packaging when delivered, like are you serious ? The backpack is worth its money and more.",5.0 out of 5 stars
Not a good quality,2.0 out of 5 stars
